trait_id	source_kind	source_namespace	source_accession	source_header	source_member	source_sequence_length	source_sequence_sha256	canonical_uniprot_id	status
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	A0A1Y1RN17	tr|A0A1Y1RN17|A0A1Y1RN17_9MICC	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	368	077b2ce4be9d088971b9f082dc07b557389fd9bc7789e88aabb70a1c38abcfb6	UniProtKB:A0A1Y1RN17	QUALIFIED
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	AAN28933.1	AAN28933.1_isochorismate_synthas	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	407	ea92759b0a5ab8a72afdda9d5826d14590ce164322a05bb9d25cf136803107b4		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	E1W0T5	tr|E1W0T5|E1W0T5_GLUAR	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	393	a118e430f7095973874dda97d0e0b2eb66fd3e09668c976e797b3ecb0d354301		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	KJY85287.1	KJY85287.1_isochorismate_synthas	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	406	b95ba331e5c78e5a9f060c831894a2c963cbfda74e7d617ced3590b2125c2041		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_011182613.1	WP_011182613.1_MULTISPECIES:_iso	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	395	541d1d9be6554cdb51ee15a7ebe4a4a2824e44d939205e1c1bfe3cbbeca0c873		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	BAC87913.1	BAC87913.1_probable_acinetobacti	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	389	75da7a2fbf92a3193c0b90f0dd58eef97398a65ab0e237f1a833da5af4dd2fef		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_063333093.1	WP_063333093.1_isochorismate_syn	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	397	28428ca537259fead16f7bf78ab30355c1280bd18a3c348f9a0812556ae413bc		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	AAK95838.1	AAK95838.1_putative_isochorismat	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	312	2ce12b1914d721cfe7807cb0de3597d00fc481122ba978668da30c213c84aece		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	E0SLE3	tr|E0SLE3|E0SLE3_DICD3_Isochoris	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	395	5f0f16df725bcd662095bbd1a25771609858eef629a67a89353c401e9df47130		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	AHY08568.1	AHY08568.1_isochorismate_synthas	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	402	03bd64efae784318a46a6a51946230a71717cbccaeec11e518989f6940100ba4		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	P0AEJ2	sp|P0AEJ2|ENTC_ECOLI_Isochorisma	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	391	b8f80b3e8a6a2f4aade5b6bcb057a4778b2e92ceeb96fde87d0339bd72f3c55f	UniProtKB:P0AEJ2	QUALIFIED
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_042525922.1	WP_042525922.1_isochorismate_syn	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	398	1455b80f75c1b7988097e45e97b915c3458452d363d9bbb0473a5da5a5918a42		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	ABO89914.1	ABO89914.1_isochorismate_synthas	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	402	a1f7db02ae56605096c452dcca11e23d390831ac8808437d7a2578c94003c8a6		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	P23300	P23300|reviewed|Putative	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	396	3426bc92f54c9a4f66b1870129fb6d60aef5acd73ca18f9e81f85904d8f408c1		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	C5BUB6	tr|C5BUB6|C5BUB6_TERTT_Isochoris	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	394	016479fecf51ef7cc86dec3e95b0dfc02fcfefca5686c7bc21d4d0553ccfd2a8		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment			G3A56_RS23870	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	391	9573c2d5806e4f395c25e8ce912c06aefe5b3c6ba658f675051e8d31f308bbf8		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_002966563.1	WP_002966563.1_MULTISPECIES:_iso	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	391	344f95ec7a0eed4ded2c8506dce44dcab316e253900eca98d26395db0d8c4398		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	A0A1Y5T939	tr|A0A1Y5T939|A0A1Y5T939_9RHOB	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	404	b94b9d7e212a327e36b2c5d5e9474edf57a70a68db9c18f8fd945385d38ce79b		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	E0DCH3	tr|E0DCH3|E0DCH3_9CORY	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	352	e14d893dfb4f7cff245e21c741a278eef8f42f2892ebd48884b1a637d10c0d24		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment			CSPHI_RS01650	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	362	4fd1caea7d60e241efbba62f89d70d4751b5bc97b33cb0f92d882a77826fe2dc		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_005529946.1	WP_005529946.1_isochorismate_syn	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	394	9e7cce3c656af2c9b3d44359be912842504bee39f3b1630b4ceff31cfac09559		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	AAR12563.1	AAR12563.1_putative_isochorismat	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	393	c4765643579c01811c3c1f77f233d16e5e5355f3bb556a274a505c3358c04db1		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	Q0E7C8	tr|Q0E7C8|Q0E7C8_VIBAN_Isochoris	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	393	a46b606eb11bd01679bd2af86501058095f439434c4274add1a0fdf2bf9eb5bf		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_000245175.1	WP_000245175.1_vibriobactin_bios	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	395	a4cde4b7afdd1e949b299ecca2272ff7ab2fa65d89315eccf5e16d7691b74f25		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_011081752.1	WP_011081752.1_isochorismate_syn	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	393	6ccf1c616f98b0c4ef19b29719ea657a233461101481a8132028919272be9bce		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	D5UY24	tr|D5UY24|D5UY24_TSUPD	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	368	d5426ee8bf4e6b02fd86df295b37b197c77a54dd1008995e433212cbeb6eafa5		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment			GPOL_RS11790	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	405	01cff420281f066c1b29d9e348df301368609f510ab303edd20168a35495ab97		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	U5ENE1	tr|U5ENE1|U5ENE1_NOCAS	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	382	8c7f72f6f4bdfdb7b6c39d1131d26aff1166561e105543f3d85377264952929a		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_041814965.1	WP_041814965.1_MULTISPECIES:_iso	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	385	0f24092452e318810aa0ec280ed4c35106788a481edeecd92282e7c1d8cf93ad		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	P9WFW8	P9WFW8|reviewed|Putative	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	372	7e669484aeaf51c901f0fe403b12500fb98a3351c0a24080ce339adc3725e66a		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	ABG96580.1	ABG96580.1_isochorismate_synthas	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	380	c24bca20464e32bf7891d3012c6eea9d827052a129da3ebc56ef8cc0cc1d2cec		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	F5XI89	tr|F5XI89|F5XI89_MICPN	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	413	f45332c79bf17bb30ef747809f6d448d7cc84111f7bb7446c75a6b99074f5322		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	A0A077LXJ1	tr|A0A077LXJ1|A0A077LXJ1_9MICO	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	377	34c5b629e724ebb0888d6f65e66a536f102957a98aa01dedc624a59540015df2		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	A0A0Q8PT72	tr|A0A0Q8PT72|A0A0Q8PT72_9ACTN	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	398	a59ef8fb56ccdf4e170df364b3b4ef680b00e9c5effc9b6f2bee01572710678c		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	A0A1T4YS22	tr|A0A1T4YS22|A0A1T4YS22_9ACTN	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	372	5074badd10444f6fe639dff893046b79626c2a438b7af3ee333fee75c9f36cd2		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_040136720.1	WP_040136720.1_isochorismate_syn	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	401	4f2f88d77b879c7b72a25a3544a8cbdad077ea9801ad175e082f2094f35d7cca		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	A0A2M9BK70	tr|A0A2M9BK70|A0A2M9BK70_9ACTN	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	414	6acd397515fd37d0d2b9693f2653e03103df55db3b14fabd83c9de9c1c5154eb		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	AGK13349.1	AGK13349.1_Isochorismate_synthas	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	403	227c6b1de48a764a45ab4bfc8382a189c51205a9e62157b455a6a5c5fa6c991b		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	AAZ55905.1	AAZ55905.1_isochorismate_synthas	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	393	47cde8436cb201dfbfd5a96df293c37ce5f21db393a20e63afd6db741f329e1e		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_084799192.1	WP_084799192.1_isochorismate_syn	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	334	765b2aab8248ce3d2938c7f1645b1ada1bc24d4a3c24bf856c071b9b8347fc77		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	SEG97355.1	SEG97355.1_isochorismate_synthas	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	414	b40a6c04a5fe1420d8d1000f71f198ed74c1e9d864ebdb8585d4b5057b1729e5		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_080675812.1	WP_080675812.1_isochorismate_syn	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	411	eeac432548d64329ded4beec25d2e60ffaf47e09191b29c2033c9913c6768ed1		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	F8SRH4	tr|F8SRH4|F8SRH4_9BACL_Isochoris	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	422	f26b72f762ac46532cb9839102b587fd94c03a65ea22518adf6ea6eda0ccde06		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	AAG31127.1	AAG31127.1_MxcD_[Stigmatella_aur	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	408	a933714b3bd9ad11deb3e601141eda4aa5419983d78a561883e5476b36c0e8a1		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	EMBL	ABI87247.1	ABI87247.1_isochorismate_synthas	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	394	bfd82f4ed4ca00f69a55e739478e3b893bee9aecff3dc5f3c2165d009b586716		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	D2TVF4	tr|D2TVF4|D2TVF4_9ACTN_Isochoris	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	401	7f7122fb3d0d8de396091477d3e2a8f6d2c3fb8e92ad3c2632524081f1daba30		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	RefSeq	WP_041529959.1	WP_041529959.1_isochorismate_syn	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	401	637f95d1dd457cd730fef0526348db8b076d381f85364bae9f44b6e08d7fed55		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	A0A2M9E2K6	tr|A0A2M9E2K6|A0A2M9E2K6_9GAMM	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	394	302e03d468f498055b5f41b35b42edfb07f22cf266241ceba943dacdc2dc7fec		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_EntC	seed_alignment	UniProtKB	B2FHQ6	tr|B2FHQ6|B2FHQ6_STRMK	nrp-metallophore-SI-main/1_rule_development/alignments/EntC.clw	397	0e89693cfab38ccfda1a377bff6e1aabcb48e3ca399561a37d0ba0ef0e2a31b2		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_IPL	seed_alignment	UniProtKB	G7LM40	tr|G7LM40|G7LM40_9GAMM	nrp-metallophore-SI-main/1_rule_development/alignments/IPL.clw	100	38ec0ac67314084ea0ea78fc4adc24ec0aa70178f6a8cdc2375eb35e807f9b82		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_IPL	seed_alignment	UniProtKB	A0A3S0PAK1	tr|A0A3S0PAK1|A0A3S0PAK1_9VIBR	nrp-metallophore-SI-main/1_rule_development/alignments/IPL.clw	109	00658d8bfdf38ccfbfe8e0c423bdc057ffcb71bdeeaee800d8686b47b1a508a6		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_IPL	seed_alignment	UniProtKB	A0A418T7G6	tr|A0A418T7G6|A0A418T7G6_9RHOB	nrp-metallophore-SI-main/1_rule_development/alignments/IPL.clw	128	708a5eebeae834d5b9e2286dc8883766870ac4bc38719fd2df207fcc8f050b3e	UniProtKB:A0A418T7G6	QUALIFIED
proteintraitsmech:ELIFE109154_IPL	seed_alignment	RefSeq	WP_011749279.1	WP_011749279.1	nrp-metallophore-SI-main/1_rule_development/alignments/IPL.clw	151	c53c6b9ed12cd9e8a2d0945677d4f4ae60e900215c1ed9909f67428110b1da49		SOURCE_ASSOCIATION_ONLY
proteintraitsmech:ELIFE109154_IPL	seed_alignment	UniProtKB	A0A348HD66	tr|A0A348HD66|A0A348HD66_9GAMM	nrp-metallophore-SI-main/1_rule_development/alignments/IPL.clw	107	42fa44e71814cb00cba3f7574da19ca5f8c0eac92638738cf71ffd6bcb3abf49		SOURCE_ASSOCIATION_ONLY
